Ad name,Amount spent (USD),Leads,Cost per lead (USD),Reach,Impressions,Ad delivery
"General Copy 01",25.89,2,12.95,934,1054,active
"General Copy 02",5419.59,178,30.45,79098,174583,active
"Promo Video A",1250.00,42,29.76,35000,85000,active
"Banner Static 01",890.50,15,59.37,22000,48000,inactive
"Carousel Product",3200.75,95,33.69,45000,112000,active
"Story Ad Summer",750.25,8,93.78,18000,42000,inactive
"Retargeting 01",420.00,28,15.00,12000,35000,active
"Lookalike Campaign",2800.00,22,127.27,65000,145000,active
"Brand Awareness",1500.00,5,300.00,80000,200000,inactive
"Lead Magnet Offer",680.40,45,15.12,25000,55000,active
"Holiday Special",2100.00,35,60.00,40000,95000,active
"Product Launch",4500.00,120,37.50,95000,220000,active
"Email Subscriber",350.00,25,14.00,15000,32000,active
"Webinar Promo",920.00,12,76.67,28000,62000,inactive
"Free Trial CTA",1800.00,85,21.18,55000,125000,active
